Location ID,Location,Value,Rank,Anomaly (1981-2010 base period),1981-2010 Mean
USW00013741,"Roanoke, Virginia",59,66,1.8,57.2
USW00024227,"Olympia, Washington",51,64,0.5,50.5
USW00024233,"Seattle, Washington",54.1,60,0.8,53.3
USH00457938,"Spokane, Washington",49.2,106,1.2,48
USW00024243,"Yakima, Washington",51.7,66,1.7,50
USW00003872,"Beckley, West Virginia",53.8,50,1.1,52.7
USW00013866,"Charleston, West Virginia",57.2,66,1.5,55.7
USW00013729,"Elkins, West Virginia",52.5,88,1.7,50.8
USW00003860,"Huntington, West Virginia",57.3,52,1.4,55.9
USW00014898,"Green Bay, Wisconsin",46.3,107,0.9,45.4
USW00014920,"La Crosse, Wisconsin",49,65,0.4,48.6
USW00014837,"Madison, Wisconsin",47.7,67,1.2,46.5
USW00014839,"Milwaukee, Wisconsin",49.8,67,0.7,49.1
USW00014897,"Wausau, Wisconsin",43.8,61,0.4,43.4
USW00024089,"Casper, Wyoming",44.8,36,-0.4,45.2
USH00481675,"Cheyenne, Wyoming",47.1,110,0.8,46.3
USW00024021,"Lander, Wyoming",44.4,46,-0.1,44.5
USW00024029,"Sheridan, Wyoming",45.8,54,0.7,45.1
USW00093738,"Washington (Dulles), Washington, D.C.",57.1,51,2.1,55
USW00013743,"Washington (Reagan National), Washington, D.C.",60.1,61,0.7,59.4
