City,Metro,County,State,Population Rank,Average Rental Cost
Downey,Los Angeles,Los Angeles,CA,263,2183.89
Waco,Waco,McLennan,TX,264,941.26
Thornton,Denver,Adams,CO,265,1576.11
Frederick,Washington,Frederick,MD,266,1638.99
Westminster,Denver,Adams,CO,267,1552.89
Lansing,Lansing,Ingham,MI,268,777.05
Victorville,Riverside,San Bernardino,CA,269,1201.82
Waterbury,New Haven,New Haven,CT,270,1195.14
New Port Richey,Tampa,Pasco,FL,271,1100.59
Temecula,Riverside,Riverside,CA,272,1958.51
Miami Gardens,Miami-Fort Lauderdale,Miami-Dade,FL,273,1543.36
Costa Mesa,Los Angeles,Orange,CA,274,2656.41
Athens,Athens,Clarke,GA,275,1019.14
Manchester,Manchester,Hillsborough,NH,276,1420.98
Vista,San Diego,San Diego,CA,277,2082.61
Rochester,Rochester,Olmsted,MN,278,1218.14
Tracy,Stockton,San Joaquin,CA,279,1786.35
Ventura,Ventura,Ventura,CA,280,2237.78
Murrieta,Riverside,Riverside,CA,281,1872.73
Peoria,Peoria,Peoria,IL,282,964.35
Chico,Chico,Butte,CA,283,1399.14
Ann Arbor,Ann Arbor,Washtenaw,MI,284,1798.19
Lowell,Boston,Middlesex,MA,285,1672.92
Gainesville,Gainesville,Hall,GA,286,1114.74
Clovis,Fresno,Fresno,CA,287,1457.12
Cambridge,Boston,Middlesex,MA,288,2441.69
Sparks,Reno,Washoe,NV,289,1303.27
Roseville,Sacramento,Placer,CA,290,1785.68
Norwalk,Los Angeles,Los Angeles,CA,291,1958.31
Redding,Redding,Shasta,CA,292,1253.58
El Monte,Los Angeles,Los Angeles,CA,293,1954.34
College Station,College Station,Brazos,TX,294,1546.53
Burbank,Los Angeles,Los Angeles,CA,295,2525.36
West Jordan,Salt Lake City,Salt Lake,UT,296,1359.35
Nampa,Boise City,Canyon,ID,297,885.14
Everett,Seattle,Snohomish,WA,298,1452.85
Broken Arrow,Tulsa,Tulsa,OK,299,1256.62
Provo,Provo,Utah,UT,300,1123.48
Spartanburg,Spartanburg,Spartanburg,SC,301,864.58
Bend,Bend,Deschutes,OR,302,1357.89
Palm Bay,Melbourne,Brevard,FL,303,979.28
Tuscaloosa,Tuscaloosa,Tuscaloosa,AL,304,1078.18
Clearwater,Tampa,Pinellas,FL,305,1246.46
Springfield,Washington,Fairfax,VA,306,2269.34
Wilmington,Wilmington,New Hanover,NC,307,1175.3
Pompano Beach,Miami-Fort Lauderdale,Broward,FL,308,1464
Davenport,Davenport,Scott,IA,309,999.3
Hesperia,Riverside,San Bernardino,CA,310,1204.62
Grand Junction,Grand Junction,Mesa,CO,311,1164.89
Rock Hill,Charlotte,York,SC,312,1098.05
Stone Mountain,Atlanta,Dekalb,GA,313,1016.05
Fargo,Fargo,Cass,ND,314,1209
Edison,New York,Middlesex,NJ,315,2082.34
West Covina,Los Angeles,Los Angeles,CA,316,2091.09
Carlsbad,San Diego,San Diego,CA,317,2714.82
Vacaville,Vallejo,Solano,CA,318,1768.73
Bowling Green,Bowling Green,Warren,KY,319,1079.32
Lewisville,Dallas-Fort Worth,Denton,TX,320,1532.62
Beaverton,Portland,Washington,OR,321,1467.62
Saint Augustine,Jacksonville,Saint Johns,FL,322,1445.43
West Palm Beach,Miami-Fort Lauderdale,Palm Beach,FL,323,1458.84
Columbia,Columbia,Boone,MO,324,1084.47
Erie,Erie,Erie,PA,325,917.42
Cedar Rapids,Cedar Rapids,Linn,IA,326,1050.04
Jacksonville,Jacksonville,Onslow,NC,327,924.39
Norcross,Atlanta,Gwinnett,GA,328,1060.31
Wichita Falls,Wichita Falls,Wichita,TX,329,892.15
Green Bay,Green Bay,Brown,WI,330,902.55
Fairfield,Vallejo,Solano,CA,331,1774.64
Madera,Madera,Madera,CA,332,1134.62
San Mateo,San Francisco,San Mateo,CA,333,3159.7
Merced,Merced,Merced,CA,334,1006.81
Daly City,San Francisco,San Mateo,CA,335,2773.43
Perris,Riverside,Riverside,CA,336,1479.61
Livonia,Detroit,Wayne,MI,337,1238.88
San Leandro,San Francisco,Alameda,CA,338,2071.93
Dearborn,Detroit,Wayne,MI,339,993.89
South Gate,Los Angeles,Los Angeles,CA,340,1820.61
Sandy Springs,Atlanta,Fulton,GA,341,2087.36
Town of Greece,Rochester,Monroe,NY,342,1256.01
Albany,Albany,Albany,NY,343,1298.03
Richardson,Dallas-Fort Worth,Dallas,TX,344,1619.27
Portsmouth,Virginia Beach,Portsmouth City,VA,345,1167.5
Longview,Longview,Gregg,TX,346,1168.78
Laurel,Washington,Prince Georges,MD,347,1905.58
Orange Park,Jacksonville,Clay,FL,348,1163.93
Vero Beach,Vero Beach,Indian River,FL,349,1217.35
Spring Hill,Tampa,Hernando,FL,350,1030.05
Duluth,Atlanta,Gwinnett,GA,351,1294.93
Davie,Miami-Fort Lauderdale,Broward,FL,352,1885.23
West Chester,Philadelphia,Chester,PA,353,2096.81
Columbia,Baltimore,Howard,MD,354,2111.55
Newton,Boston,Middlesex,MA,355,2743.91
Brockton,Boston,Plymouth,MA,356,1517.55
Albany,Albany,Dougherty,GA,357,822.12
Lakeland,Lakeland,Polk,FL,358,1008.65
Lawrence,Lawrence,Douglas,KS,359,1198.61
Lehigh Acres,Fort Myers,Lee,FL,360,935.72
Napa,Napa,Napa,CA,361,2263.09
Mission Viejo,Los Angeles,Orange,CA,362,2680.3
Santa Cruz,Santa Cruz,Santa Cruz,CA,363,2520.11
Lakewood Township,New York,Ocean,NJ,364,1709.7
Antioch,San Francisco,Contra Costa,CA,365,1807.89
Centennial,Denver,Arapahoe,CO,366,1947.82
Riverview,Tampa,Hillsborough,FL,367,1314.51
Kenosha,Chicago,Kenosha,WI,368,1099.58
